ciudad,estado,poblacion,muertes
Autauga,Alabama,55869,107
Baldwin,Alabama,223234,305
Barbour,Alabama,24686,56
Bibb,Alabama,22394,62
Blount,Alabama,57826,134
Bullock,Alabama,10101,40
Butler,Alabama,19448,69
Calhoun,Alabama,113605,312
Chambers,Alabama,33254,121
Cherokee,Alabama,26196,45
Chilton,Alabama,44428,111
Choctaw,Alabama,12589,24
Clarke,Alabama,23622,60
Clay,Alabama,13235,56
Cleburne,Alabama,14910,41
Coffee,Alabama,52342,115
Colbert,Alabama,55241,134
Conecuh,Alabama,12067,28
Coosa,Alabama,10663,28
Covington,Alabama,37049,116
Crenshaw,Alabama,13772,57
Cullman,Alabama,83768,191
Dale,Alabama,49172,111
Dallas,Alabama,37196,150
DeKalb,Alabama,71513,184
Elmore,Alabama,81209,204
Escambia,Alabama,36633,75
Etowah,Alabama,102268,352
Fayette,Alabama,16302,62
Franklin,Alabama,31362,82
Geneva,Alabama,26271,75
Greene,Alabama,8111,34
Hale,Alabama,14651,75
Henry,Alabama,17205,44
Houston,Alabama,105882,280
Jackson,Alabama,51626,110
Jefferson,Alabama,658573,1498
Lamar,Alabama,13805,34
Lauderdale,Alabama,92729,236
Lawrence,Alabama,32924,97
Lee,Alabama,164542,168
Limestone,Alabama,98915,150
Lowndes,Alabama,9726,53
Macon,Alabama,18068,49
Madison,Alabama,372909,496
Marengo,Alabama,18863,64
Marion,Alabama,29709,100
Marshall,Alabama,96774,221
Mobile,Alabama,413210,804
Monroe,Alabama,20733,40
Montgomery,Alabama,226486,575
Morgan,Alabama,119679,277
Out of AL,Alabama,0,0
Perry,Alabama,8923,26
Pickens,Alabama,19930,59
Pike,Alabama,33114,76
Randolph,Alabama,22722,41
Russell,Alabama,57961,38
Shelby,Alabama,217702,246
St. Clair,Alabama,89512,237
Sumter,Alabama,12427,32
Talladega,Alabama,79978,174
Tallapoosa,Alabama,40367,149
Tuscaloosa,Alabama,209355,448
Unassigned,Alabama,0,0
Walker,Alabama,63521,278
Washington,Alabama,16326,39
Wilcox,Alabama,10373,27
Winston,Alabama,23629,72
Aleutians East,Alaska,3337,3
Aleutians West,Alaska,5634,1
Anchorage,Alaska,288000,176
Bethel,Alaska,18386,21
Bristol Bay,Alaska,836,0
Bristol Bay plus Lake and Peninsula,Alaska,1592,0
Chugach,Alaska,6751,3
Copper River,Alaska,2699,0
Denali,Alaska,2097,0
Dillingham,Alaska,4916,2
Fairbanks North Star,Alaska,96849,37
Haines,Alaska,2530,0
Hoonah-Angoon,Alaska,2148,0
Juneau,Alaska,31974,5
Kenai Peninsula,Alaska,58708,22
Ketchikan Gateway,Alaska,13901,2
Kodiak Island,Alaska,12998,5
Kusilvak,Alaska,8314,4
Matanuska-Susitna,Alaska,108317,47
Nome,Alaska,10004,0
North Slope,Alaska,9832,4
Northwest Arctic,Alaska,7621,2
Out of AK,Alaska,0,0
Petersburg,Alaska,3266,1
Prince of Wales-Hyder,Alaska,6203,1
Sitka,Alaska,8493,1
Skagway,Alaska,1183,0
Southeast Fairbanks,Alaska,6893,4
Unassigned,Alaska,0,0
Valdez-Cordova,Alaska,9202,0
Wrangell,Alaska,2502,0
Yakutat,Alaska,579,2
Yukon-Koyukuk,Alaska,5230,4
American Samoa,US,0,
Apache,Arizona,71887,426
Cochise,Arizona,125922,284
Coconino,Arizona,143476,329
Gila,Arizona,54018,227
Graham,Arizona,38837,77
Greenlee,Arizona,9498,10
La Paz,Arizona,21108,80
Maricopa,Arizona,4485414,9840
Mohave,Arizona,212181,711
Navajo,Arizona,110924,527
Out of AZ,Arizona,0,0
Pima,Arizona,1047279,2391
Pinal,Arizona,462789,868
Santa Cruz,Arizona,46498,175
Unassigned,Arizona,0,0
Yavapai,Arizona,235099,501
Yuma,Arizona,213787,830
Arkansas,Arkansas,17486,36
Ashley,Arkansas,19657,34
Baxter,Arkansas,41932,103
Benton,Arkansas,279141,414
Boone,Arkansas,37432,80
Bradley,Arkansas,10763,32
Calhoun,Arkansas,5189,3
Carroll,Arkansas,28380,45
Chicot,Arkansas,10118,41
Clark,Arkansas,22320,40
Clay,Arkansas,14551,50
Cleburne,Arkansas,24919,73
Cleveland,Arkansas,7956,25
Columbia,Arkansas,23457,56
Conway,Arkansas,20846,32
Craighead,Arkansas,110332,178
Crawford,Arkansas,63257,119
Crittenden,Arkansas,47955,96
Cross,Arkansas,16419,50
Dallas,Arkansas,7009,15
Desha,Arkansas,11361,24
Drew,Arkansas,18219,42
Faulkner,Arkansas,126007,161
Franklin,Arkansas,17715,39
Fulton,Arkansas,12477,47
Garland,Arkansas,99386,259
Grant,Arkansas,18265,32
Greene,Arkansas,45325,75
Hempstead,Arkansas,21532,20
Hot Spring,Arkansas,33771,71
Howard,Arkansas,13202,25
Independence,Arkansas,37825,123
Izard,Arkansas,13629,41
Jackson,Arkansas,16719,38
Jefferson,Arkansas,66824,166
Johnson,Arkansas,26578,37
Lafayette,Arkansas,6624,9
Lawrence,Arkansas,16406,43
Lee,Arkansas,8857,34
Lincoln,Arkansas,13024,48
Little River,Arkansas,12259,42
Logan,Arkansas,21466,22
Lonoke,Arkansas,73309,119
Madison,Arkansas,16576,23
Marion,Arkansas,16694,30
Miller,Arkansas,43257,36
Mississippi,Arkansas,40651,107
Monroe,Arkansas,6701,17
Montgomery,Arkansas,8986,33
Nevada,Arkansas,8252,24
Newton,Arkansas,7753,26
Ouachita,Arkansas,23382,61
Out of AR,Arkansas,0,0
Perry,Arkansas,10455,10
Phillips,Arkansas,17782,38
Pike,Arkansas,10718,22
Poinsett,Arkansas,23528,77
Polk,Arkansas,19964,71
Pope,Arkansas,64072,106
Prairie,Arkansas,8062,21
Pulaski,Arkansas,391911,647
Randolph,Arkansas,17958,47
Saline,Arkansas,122437,166
Scott,Arkansas,10281,14
Searcy,Arkansas,7881,18
Sebastian,Arkansas,127827,274
Sevier,Arkansas,17007,24
Sharp,Arkansas,17442,45
St. Francis,Arkansas,24994,42
Stone,Arkansas,12506,30
Unassigned,Arkansas,0,0
Union,Arkansas,38682,113
Van Buren,Arkansas,16545,23
Washington,Arkansas,239187,345
White,Arkansas,78753,118
Woodruff,Arkansas,6320,13
Yell,Arkansas,21341,65
Alameda,California,1671329,1491
Alpine,California,1129,0
Amador,California,39752,47
Butte,California,219186,196
Calaveras,California,45905,52
Colusa,California,21547,16
Contra Costa,California,1153526,789
Del Norte,California,27812,7
El Dorado,California,192843,109
Fresno,California,999101,1662
Glenn,California,28393,25
Humboldt,California,135558,38
Imperial,California,181215,720
Inyo,California,18039,38
Kern,California,900202,1345
Kings,California,152940,246
Lake,California,64386,43
Lassen,California,30573,24
Los Angeles,California,10039107,23804
Madera,California,157327,240
Marin,California,258826,227
Mariposa,California,17203,7
Mendocino,California,86749,47
Merced,California,277680,454
Modoc,California,8841,4
Mono,California,14444,4
Monterey,California,434061,381
Napa,California,137744,79
Nevada,California,99755,75
Orange,California,3175692,4939
Out of CA,California,0,0
Placer,California,398329,286
Plumas,California,18807,6
Riverside,California,2470546,4563
Sacramento,California,1552058,1659
San Benito,California,62808,63
San Bernardino,California,2180085,4572
San Diego,California,3338330,3692
San Francisco,California,881549,532
San Joaquin,California,762148,1346
San Luis Obispo,California,283111,260
San Mateo,California,766573,564
Santa Barbara,California,446499,448
Santa Clara,California,1927852,2048
Santa Cruz,California,273213,205
Shasta,California,180080,220
Sierra,California,3005,0
Siskiyou,California,43539,21
Solano,California,447643,247
Sonoma,California,494336,318
Stanislaus,California,550660,1040
Sutter,California,96971,110
Tehama,California,65084,57
Trinity,California,12285,5
Tulare,California,466195,834
Tuolumne,California,54478,65
Unassigned,California,0,0
Ventura,California,846006,1007
Yolo,California,220500,205
Yuba,California,78668,44
Adams,Colorado,517421,664
Alamosa,Colorado,16233,30
Arapahoe,Colorado,656590,712
Archuleta,Colorado,14029,1
Baca,Colorado,3581,4
Bent,Colorado,5577,21
Boulder,Colorado,326196,228
Broomfield,Colorado,70465,75
Chaffee,Colorado,20356,25
Cheyenne,Colorado,1831,6
Clear Creek,Colorado,9700,3
Conejos,Colorado,8205,10
Costilla,Colorado,3887,2
Crowley,Colorado,6061,15
Custer,Colorado,5068,1
Delta,Colorado,31162,61
Denver,Colorado,727211,800
Dolores,Colorado,2055,0
Douglas,Colorado,351154,233
Eagle,Colorado,55127,22
El Paso,Colorado,720403,783
Elbert,Colorado,26729,13
Fremont,Colorado,47839,55
Garfield,Colorado,60061,38
Gilpin,Colorado,6243,3
Grand,Colorado,15734,7
Gunnison,Colorado,17462,6
Hinsdale,Colorado,820,0
Huerfano,Colorado,6897,17
Jackson,Colorado,1392,0
Jefferson,Colorado,582881,748
Kiowa,Colorado,1406,3
Kit Carson,Colorado,7097,11
La Plata,Colorado,56221,39
Lake,Colorado,8127,0
Larimer,Colorado,356899,232
Las Animas,Colorado,14506,11
Lincoln,Colorado,5701,4
Logan,Colorado,22409,67
Mesa,Colorado,154210,210
Mineral,Colorado,769,1
Moffat,Colorado,13283,22
Montezuma,Colorado,26183,24
Montrose,Colorado,42758,57
Morgan,Colorado,29068,93
Otero,Colorado,18278,63
Ouray,Colorado,4952,3
Out of CO,Colorado,0,0
Park,Colorado,18845,5
Phillips,Colorado,4265,13
Pitkin,Colorado,17767,4
Prowers,Colorado,12172,21
Pueblo,Colorado,168424,371
Rio Blanco,Colorado,6324,4
Rio Grande,Colorado,11267,14
Routt,Colorado,25638,20
Saguache,Colorado,6824,4
San Juan,Colorado,728,0
San Miguel,Colorado,8179,0
Sedgwick,Colorado,2248,2
Summit,Colorado,31011,7
Teller,Colorado,25388,14
Unassigned,Colorado,0,0
Washington,Colorado,4908,12
Weld,Colorado,324492,333
Yuma,Colorado,10019,17
Fairfield,Connecticut,943332,2157
Hartford,Connecticut,891720,2386
Litchfield,Connecticut,180333,293
Middlesex,Connecticut,162436,361
New Haven,Connecticut,854757,2061
New London,Connecticut,265206,438
Out of CT,Connecticut,0,0
Tolland,Connecticut,150721,181
Unassigned,Connecticut,0,0
Windham,Connecticut,116782,190
Kent,Delaware,180786,330
New Castle,Delaware,558753,806
Out of DE,Delaware,0,0
Sussex,Delaware,234225,481
Unassigned,Delaware,0,0
Diamond Princess,US,0,
District of Columbia,District of Columbia,705749,1100
Out of DC,District of Columbia,0,0
Unassigned,District of Columbia,0,0
Alachua,Florida,269043,273
Baker,Florida,29210,60
Bay,Florida,174705,382
Bradford,Florida,28201,56
Brevard,Florida,601942,854
Broward,Florida,1952778,2877
Calhoun,Florida,14105,43
Charlotte,Florida,188910,413
Citrus,Florida,149657,438
Clay,Florida,219252,336
Collier,Florida,384902,522
Columbia,Florida,71686,168
DeSoto,Florida,38001,92
Dixie,Florida,16826,24
Duval,Florida,957755,1375
Escambia,Florida,318316,677
Flagler,Florida,115081,109
Franklin,Florida,12125,17
Gadsden,Florida,45660,93
Gilchrist,Florida,18582,43
Glades,Florida,13811,19
Gulf,Florida,13639,42
Hamilton,Florida,14428,25
Hardee,Florida,26937,42
Hendry,Florida,42022,81
Hernando,Florida,193920,460
Highlands,Florida,106221,343
Hillsborough,Florida,1471968,1682
Holmes,Florida,19617,49
Indian River,Florida,159923,294
Jackson,Florida,46414,156
Jefferson,Florida,14246,27
Lafayette,Florida,8422,26
Lake,Florida,367118,621
Lee,Florida,770577,956
Leon,Florida,293582,312
Levy,Florida,41503,51
Liberty,Florida,8354,16
Madison,Florida,18493,45
Manatee,Florida,403253,660
Marion,Florida,365579,947
Martin,Florida,161000,313
Miami-Dade,Florida,2716940,6130
Monroe,Florida,74228,49
Nassau,Florida,88625,124
Okaloosa,Florida,210738,361
Okeechobee,Florida,42168,88
Orange,Florida,1393452,1239
Osceola,Florida,375751,498
Out of FL,Florida,0,0
Palm Beach,Florida,1496770,2755
Pasco,Florida,553947,738
Pinellas,Florida,974996,1596
Polk,Florida,724777,1301
Putnam,Florida,74521,144
Santa Rosa,Florida,184313,284
Sarasota,Florida,433742,809
Seminole,Florida,471826,486
St. Johns,Florida,264672,207
St. Lucie,Florida,328297,621
Sumter,Florida,132420,275
Suwannee,Florida,44417,138
Taylor,Florida,21569,45
Unassigned,Florida,0,0
Union,Florida,15237,72
Volusia,Florida,553284,786
Wakulla,Florida,33739,54
Walton,Florida,74071,88
Washington,Florida,25473,51
Appling,Georgia,18386,71
Atkinson,Georgia,8165,19
Bacon,Georgia,11164,36
Baker,Georgia,3038,9
Baldwin,Georgia,44890,128
Banks,Georgia,19234,35
Barrow,Georgia,83240,136
Bartow,Georgia,107738,223
Ben Hill,Georgia,16700,79
Berrien,Georgia,19397,43
Bibb,Georgia,153159,442
Bleckley,Georgia,12873,51
Brantley,Georgia,19109,37
Brooks,Georgia,15457,47
Bryan,Georgia,39627,37
Bulloch,Georgia,79608,112
Burke,Georgia,22383,60
Butts,Georgia,24936,82
Calhoun,Georgia,6189,15
Camden,Georgia,54666,34
Candler,Georgia,10803,65
Carroll,Georgia,119992,238
Catoosa,Georgia,67580,69
Charlton,Georgia,13392,33
Chatham,Georgia,289430,444
Chattahoochee,Georgia,10907,15
Chattooga,Georgia,24789,68
Cherokee,Georgia,258773,315
Clarke,Georgia,128331,143
Clay,Georgia,2834,3
Clayton,Georgia,292256,465
Clinch,Georgia,6618,26
Cobb,Georgia,760141,1038
Coffee,Georgia,43273,170
Colquitt,Georgia,45600,115
Columbia,Georgia,156714,201
Cook,Georgia,17270,42
Coweta,Georgia,148509,216
Crawford,Georgia,12404,19
Crisp,Georgia,22372,78
Dade,Georgia,16116,13
Dawson,Georgia,26108,43
DeKalb,Georgia,759297,983
Decatur,Georgia,26404,69
Dodge,Georgia,20605,102
Dooly,Georgia,13390,45
Dougherty,Georgia,87956,300
Douglas,Georgia,146343,214
Early,Georgia,10190,48
Echols,Georgia,4006,9
Effingham,Georgia,64296,67
Elbert,Georgia,19194,71
Emanuel,Georgia,22646,81
Evans,Georgia,10654,29
Fannin,Georgia,26188,70
Fayette,Georgia,114421,167
Floyd,Georgia,98498,220
Forsyth,Georgia,244252,184
Franklin,Georgia,23349,52
Fulton,Georgia,1063937,1353
Gilmer,Georgia,31369,83
Glascock,Georgia,2971,19
Glynn,Georgia,85292,172
Gordon,Georgia,57963,112
Grady,Georgia,24633,59
Greene,Georgia,18324,64
Gwinnett,Georgia,936250,1131
Habersham,Georgia,45328,159
Hall,Georgia,204441,460
Hancock,Georgia,8457,65
Haralson,Georgia,29792,81
Harris,Georgia,35236,58
Hart,Georgia,26205,52
Heard,Georgia,11923,19
Henry,Georgia,234561,319
Houston,Georgia,157863,251
Irwin,Georgia,9416,28
Jackson,Georgia,72977,151
Jasper,Georgia,14219,38
Jeff Davis,Georgia,15115,43
Jefferson,Georgia,15362,66
Jenkins,Georgia,8676,43
Johnson,Georgia,9643,49
Jones,Georgia,28735,57
Lamar,Georgia,19077,56
Lanier,Georgia,10423,13
Laurens,Georgia,47546,167
Lee,Georgia,29992,58
Liberty,Georgia,61435,62
Lincoln,Georgia,7921,26
Long,Georgia,19559,11
Lowndes,Georgia,117406,205
Lumpkin,Georgia,33610,69
Macon,Georgia,12947,29
Madison,Georgia,29880,56
Marion,Georgia,8359,19
McDuffie,Georgia,21312,48
McIntosh,Georgia,14378,16
Meriwether,Georgia,21167,84
Miller,Georgia,5718,13
Mitchell,Georgia,21863,81
Monroe,Georgia,27578,99
Montgomery,Georgia,9172,23
Morgan,Georgia,19276,29
Murray,Georgia,40096,84
Muscogee,Georgia,195769,446
Newton,Georgia,111744,236
Oconee,Georgia,40280,72
Oglethorpe,Georgia,15259,29
Out of GA,Georgia,0,620
Paulding,Georgia,168667,212
Peach,Georgia,27546,59
Pickens,Georgia,32591,77
Pierce,Georgia,19465,55
Pike,Georgia,18962,40
Polk,Georgia,42613,92
Pulaski,Georgia,11137,44
Putnam,Georgia,22119,57
Quitman,Georgia,2299,2
Rabun,Georgia,17137,49
Randolph,Georgia,6778,33
Richmond,Georgia,202518,495
Rockdale,Georgia,90896,171
Schley,Georgia,5257,5
Screven,Georgia,13966,31
Seminole,Georgia,8090,18
Spalding,Georgia,66703,186
Stephens,Georgia,25925,81
Stewart,Georgia,6621,23
Sumter,Georgia,29524,100
Talbot,Georgia,6195,18
Taliaferro,Georgia,1537,3
Tattnall,Georgia,25286,65
Taylor,Georgia,8020,25
Telfair,Georgia,15860,57
Terrell,Georgia,8531,47
Thomas,Georgia,44451,123
Tift,Georgia,40644,125
Toombs,Georgia,26830,112
Towns,Georgia,12037,54
Treutlen,Georgia,6901,27
Troup,Georgia,69922,221
Turner,Georgia,7985,39
Twiggs,Georgia,8120,42
Unassigned,Georgia,0,11
Union,Georgia,24511,73
Upson,Georgia,26320,126
Walker,Georgia,69761,87
Walton,Georgia,94593,254
Ware,Georgia,35734,174
Warren,Georgia,5254,17
Washington,Georgia,20374,84
Wayne,Georgia,29927,84
Webster,Georgia,2607,4
Wheeler,Georgia,7855,24
White,Georgia,30798,80
Whitfield,Georgia,104628,242
Wilcox,Georgia,8635,47
Wilkes,Georgia,9777,27
Wilkinson,Georgia,8954,28
Worth,Georgia,20247,68
Grand Princess,US,0,
Guam,US,0,
Hawaii,Hawaii,201513,53
Honolulu,Hawaii,974563,373
Kalawao,Hawaii,86,0
Kauai,Hawaii,72293,1
Maui,Hawaii,167417,49
Out of HI,Hawaii,0,3
Unassigned,Hawaii,0,0
Ada,Idaho,481587,460
Adams,Idaho,4294,4
Bannock,Idaho,87808,106
Bear Lake,Idaho,6125,2
Benewah,Idaho,9298,9
Bingham,Idaho,46811,74
Blaine,Idaho,23021,18
Boise,Idaho,7831,2
Bonner,Idaho,45739,39
Bonneville,Idaho,119062,169
Boundary,Idaho,12245,10
Butte,Idaho,2597,1
Camas,Idaho,1106,0
Canyon,Idaho,229849,292
Caribou,Idaho,7155,12
Cassia,Idaho,24030,26
Clark,Idaho,845,0
Clearwater,Idaho,8756,13
Custer,Idaho,4315,3
Elmore,Idaho,27511,14
Franklin,Idaho,13876,16
Fremont,Idaho,13099,14
Gem,Idaho,18112,38
Gooding,Idaho,15179,24
Idaho,Idaho,16667,18
Jefferson,Idaho,29871,26
Jerome,Idaho,24412,23
Kootenai,Idaho,165697,207
Latah,Idaho,40108,10
Lemhi,Idaho,8027,9
Lewis,Idaho,3838,9
Lincoln,Idaho,5366,11
Madison,Idaho,39907,27
Minidoka,Idaho,21039,32
Nez Perce,Idaho,40408,54
Oneida,Idaho,4531,4
Out of ID,Idaho,0,0
Owyhee,Idaho,11823,28
Payette,Idaho,23951,36
Power,Idaho,7681,9
Shoshone,Idaho,12882,34
Teton,Idaho,12142,4
Twin Falls,Idaho,86878,126
Unassigned,Idaho,0,0
Valley,Idaho,11392,6
Washington,Idaho,10194,21
Adams,Illinois,65435,119
Alexander,Illinois,5761,11
Bond,Illinois,16426,24
Boone,Illinois,53544,71
Brown,Illinois,6578,6
Bureau,Illinois,32628,82
Calhoun,Illinois,4739,2
Carroll,Illinois,14305,36
Cass,Illinois,12147,24
Champaign,Illinois,209689,143
Christian,Illinois,32304,72
Clark,Illinois,15441,32
Clay,Illinois,13184,43
Clinton,Illinois,37562,90
Coles,Illinois,50621,94
Cook,Illinois,5150233,9911
Crawford,Illinois,18667,26
Cumberland,Illinois,10766,19
De Witt,Illinois,15638,24
DeKalb,Illinois,104897,118
Douglas,Illinois,19465,35
DuPage,Illinois,922921,1258
Edgar,Illinois,17161,39
Edwards,Illinois,6395,12
Effingham,Illinois,34008,72
Fayette,Illinois,21336,55
Ford,Illinois,12961,46
Franklin,Illinois,38469,70
Fulton,Illinois,34340,50
Gallatin,Illinois,4828,4
Greene,Illinois,12969,33
Grundy,Illinois,51054,71
Hamilton,Illinois,8116,15
Hancock,Illinois,17708,31
Hardin,Illinois,3821,12
Henderson,Illinois,6646,14
Henry,Illinois,48913,63
Iroquois,Illinois,27114,64
Jackson,Illinois,56750,63
Jasper,Illinois,9610,17
Jefferson,Illinois,37684,119
Jersey,Illinois,21773,49
Jo Daviess,Illinois,21235,24
Johnson,Illinois,12417,14
Kane,Illinois,532403,760
Kankakee,Illinois,109862,199
Kendall,Illinois,128990,90
Knox,Illinois,49699,138
LaSalle,Illinois,108669,234
Lake,Illinois,696535,969
Lawrence,Illinois,15678,25
Lee,Illinois,34096,51
Livingston,Illinois,35648,83
Logan,Illinois,28618,57
Macon,Illinois,104009,191
Macoupin,Illinois,44926,81
Madison,Illinois,262966,516
Marion,Illinois,37205,115
Marshall,Illinois,11438,17
Mason,Illinois,13359,42
Massac,Illinois,13772,40
McDonough,Illinois,29682,44
McHenry,Illinois,307774,280
McLean,Illinois,171517,172
Menard,Illinois,12196,12
Mercer,Illinois,15437,33
Monroe,Illinois,34637,90
Montgomery,Illinois,28414,73
Morgan,Illinois,33658,79
Moultrie,Illinois,14501,26
Ogle,Illinois,50643,78
Out of IL,Illinois,0,0
Peoria,Illinois,179179,290
Perry,Illinois,20916,59
Piatt,Illinois,16344,14
Pike,Illinois,15561,51
Pope,Illinois,4177,4
Pulaski,Illinois,5335,7
Putnam,Illinois,5739,3
Randolph,Illinois,31782,84
Richland,Illinois,15513,40
Rock Island,Illinois,141879,305
Saline,Illinois,23491,53
Sangamon,Illinois,194672,232
Schuyler,Illinois,6768,5
Scott,Illinois,4951,1
Shelby,Illinois,21634,37
St. Clair,Illinois,259686,505
Stark,Illinois,5342,23
Stephenson,Illinois,44498,81
Tazewell,Illinois,131803,264
Unassigned,Illinois,0,2316
Union,Illinois,16653,40
Vermilion,Illinois,75758,131
Wabash,Illinois,11520,12
Warren,Illinois,16844,46
Washington,Illinois,13887,25
Wayne,Illinois,16215,52
White,Illinois,13537,26
Whiteside,Illinois,55175,166
Will,Illinois,690743,975
Williamson,Illinois,66597,126
Winnebago,Illinois,282572,461
Woodford,Illinois,38459,68
Adams,Indiana,35777,54
Allen,Indiana,379299,672
Bartholomew,Indiana,83779,155
Benton,Indiana,8748,14
Blackford,Indiana,11758,32
Boone,Indiana,67843,100
Brown,Indiana,15092,40
Carroll,Indiana,20257,20
Cass,Indiana,37689,104
Clark,Indiana,118302,191
Clay,Indiana,26225,45
Clinton,Indiana,32399,53
Crawford,Indiana,10577,14
Daviess,Indiana,33351,99
DeKalb,Indiana,43475,84
Dearborn,Indiana,49458,76
Decatur,Indiana,26559,92
Delaware,Indiana,114135,184
Dubois,Indiana,42736,117
Elkhart,Indiana,206341,433
Fayette,Indiana,23102,62
Floyd,Indiana,78522,176
Fountain,Indiana,16346,45
Franklin,Indiana,22758,35
Fulton,Indiana,19974,40
Gibson,Indiana,33659,90
Grant,Indiana,65769,172
Greene,Indiana,31922,85
Hamilton,Indiana,338011,407
Hancock,Indiana,78168,139
Harrison,Indiana,40515,72
Hendricks,Indiana,170311,311
Henry,Indiana,47972,101
Howard,Indiana,82544,213
Huntington,Indiana,36520,80
Jackson,Indiana,44231,72
Jasper,Indiana,33562,47
Jay,Indiana,20436,29
Jefferson,Indiana,32308,81
Jennings,Indiana,27735,48
Johnson,Indiana,158167,375
Knox,Indiana,36594,90
Kosciusko,Indiana,79456,115
LaGrange,Indiana,39614,70
LaPorte,Indiana,109888,205
Lake,Indiana,485493,952
Lawrence,Indiana,45370,118
Madison,Indiana,129569,339
Marion,Indiana,964582,1731
Marshall,Indiana,46258,109
Martin,Indiana,10255,15
Miami,Indiana,35516,65
Monroe,Indiana,148431,166
Montgomery,Indiana,38338,88
Morgan,Indiana,70489,139
Newton,Indiana,13984,34
Noble,Indiana,47744,83
Ohio,Indiana,5875,11
Orange,Indiana,19646,54
Out of IN,Indiana,0,0
Owen,Indiana,20799,56
Parke,Indiana,16937,16
Perry,Indiana,19169,36
Pike,Indiana,12389,34
Porter,Indiana,170389,303
Posey,Indiana,25427,33
Pulaski,Indiana,12353,45
Putnam,Indiana,37576,60
Randolph,Indiana,24665,80
Ripley,Indiana,28324,69
Rush,Indiana,16581,24
Scott,Indiana,23873,53
Shelby,Indiana,44729,95
Spencer,Indiana,20277,31
St. Joseph,Indiana,271826,546
Starke,Indiana,22995,52
Steuben,Indiana,34594,57
Sullivan,Indiana,20669,42
Switzerland,Indiana,10751,8
Tippecanoe,Indiana,195732,215
Tipton,Indiana,15148,43
Unassigned,Indiana,0,410
Union,Indiana,7054,10
Vanderburgh,Indiana,181451,394
Vermillion,Indiana,15498,43
Vigo,Indiana,107038,244
Wabash,Indiana,30996,78
Warren,Indiana,8265,15
Warrick,Indiana,62998,155
Washington,Indiana,28036,31
Wayne,Indiana,65884,198
Wells,Indiana,28296,81
White,Indiana,24102,54
Whitley,Indiana,33964,39
Adair,Iowa,7152,32
Adams,Iowa,3602,4
Allamakee,Iowa,13687,51
Appanoose,Iowa,12426,47
Audubon,Iowa,5496,9
Benton,Iowa,25645,55
Black Hawk,Iowa,131228,306
Boone,Iowa,26234,33
Bremer,Iowa,25062,60
Buchanan,Iowa,21175,31
Buena Vista,Iowa,19620,40
Butler,Iowa,14439,34
Calhoun,Iowa,9668,13
Carroll,Iowa,20165,52
Cass,Iowa,12836,54
Cedar,Iowa,18627,23
Cerro Gordo,Iowa,42450,87
Cherokee,Iowa,11235,38
Chickasaw,Iowa,11933,15
Clarke,Iowa,9395,24
Clay,Iowa,16016,25
Clayton,Iowa,17549,56
Clinton,Iowa,46429,92
Crawford,Iowa,16820,40
Dallas,Iowa,93453,97
Davis,Iowa,9000,24
Decatur,Iowa,7870,9
Delaware,Iowa,17011,39
Des Moines,Iowa,38967,65
